ID	STRING
HMR_6881	[1.0][m00723][c] => [1.0][m01596][c] + [2.0][m02039][c] + [1.0][m01381][c]
HMR_6886	[1.0][m01137][c] <=> [1.0][m02026][c] + [1.0][m02355][c]
HMR_1364	[1.0][m00335][c] + [1.0][m02039][c] <=> [1.0][m02631][c] + [1.0][m01362][c]
HMR_6669	[1.0][m01029][r] + [1.0][m03109][r] => [1.0][m01030][r] + [1.0][m03106][r]
HMR_0359	[1.0][m01371][c] + [1.0][m02040][c] + [1.0][m02648][c] => [1.0][m01285][c] + [1.0][m02751][c] + [1.0][m02648][s]
HMR_6888	[1.0][m02355][c] => [1.0][m01053][c]
HMR_6889	[1.0][m01053][c] + [1.0][m02630][c] => [1.0][m01059][c] + [1.0][m02041][c]
HMR_3118	[1.0][m00890][m] + [1.0][m01597][m] => [1.0][m01261][m] + [1.0][m02678][m]
HMR_3113	[1.0][m00777][m] + [1.0][m02552][m] => [1.0][m00872][m] + [1.0][m02039][m] + [1.0][m02553][m]
HMR_3112	[1.0][m00043][m] + [1.0][m02040][m] => [1.0][m00777][m]
HMR_3111	[1.0][m01802][m] + [1.0][m01773][m] => [1.0][m00043][m] + [1.0][m01803][m]
HMR_3110	[1.0][m00866][m] + [1.0][m01597][m] => [1.0][m01261][m] + [1.0][m01773][m]
HMR_3117	[1.0][m00793][m] + [1.0][m02552][m] => [1.0][m00890][m] + [1.0][m02039][m] + [1.0][m02553][m]
HMR_3116	[1.0][m00057][m] + [1.0][m02040][m] => [1.0][m00793][m]
HMR_3115	[1.0][m01802][m] + [1.0][m02941][m] => [1.0][m00057][m] + [1.0][m01803][m]
